date,bitcoin
2019-10-16,1343
2019-10-17,1336
2019-10-18,1447
2019-10-19,1227
2019-10-20,1222
2019-10-21,1387
2019-10-22,1352
2019-10-23,1682
2019-10-24,1645
2019-10-25,1032
2019-10-26,1402
2019-10-27,977
2019-10-28,1036
2019-10-29,959
2019-10-30,869
2019-10-31,825
2019-11-01,1774
2019-11-02,1573
2019-11-03,1554
2019-11-04,1757
2019-11-05,1825
2019-11-06,1716
2019-11-07,1677
2019-11-08,1951
2019-11-09,1717
2019-11-10,1625
2019-11-11,1824
2019-11-12,1802
2019-11-13,1778
2019-11-14,1682
2019-11-15,1613
2019-11-16,1449
2019-11-17,1430
2019-11-18,1573
2019-11-19,1702
2019-11-20,1594
2019-11-21,1879
2019-11-22,1701
2019-11-23,1330
2019-11-24,1254
2019-11-25,1725
2019-11-26,1481
2019-11-27,1410
2019-11-28,1309
2019-11-29,1918
2019-11-30,1758
2019-12-01,1746
2019-12-02,1852
2019-12-03,1843
2019-12-04,1922
2019-12-05,1816
2019-12-06,1928
2019-12-07,1708
2019-12-08,1607
2019-12-09,1779
2019-12-10,1843
2019-12-11,1870
2019-12-12,1867
2019-12-13,1398
2019-12-14,1295
2019-12-15,1227
2019-12-16,1414
2019-12-17,1685
2019-12-18,1699
2019-12-19,1593
2019-12-20,1860
2019-12-21,1589
2019-12-22,1589
2019-12-23,1865
2019-12-24,1694
2019-12-25,1227
2019-12-26,1668
2019-12-27,1800
2019-12-28,1682
2019-12-29,1672
2019-12-30,1721
2019-12-31,1661
2020-01-01,1130
2020-01-02,1856
2020-01-03,1440
2020-01-04,1231
2020-01-05,1254
2020-01-06,1403
2020-01-07,1685
2020-01-08,1862
2020-01-09,1466
2020-01-10,1306
2020-01-11,1174
2020-01-12,1074
2020-01-13,1129
2020-01-14,1575
2020-01-15,1575
2020-01-16,1341
2020-01-17,1959
2020-01-18,1762
2020-01-19,1916
2020-01-20,1789
2020-01-21,1727
2020-01-22,1631
2020-01-23,1642
2020-01-24,1495
2020-01-25,1304
2020-01-26,1242
2020-01-27,1477
2020-01-28,1746
2020-01-29,1817
2020-01-30,1777
2020-01-31,1788
2020-02-01,1516
2020-02-02,1521
2020-02-03,1572
2020-02-04,1615
2020-02-05,1742
2020-02-06,1835
2020-02-07,1707
2020-02-08,1534
2020-02-09,2007
2020-02-10,1774
2020-02-11,1811
2020-02-12,2038
2020-02-13,1872
2020-02-14,1595
2020-02-15,1485
2020-02-16,1459
2020-02-17,1519
2020-02-18,1535
2020-02-19,1594
2020-02-20,1575
